序号,功能类别,具体功能,详细描述,实现方式 / 部署方法,Cloudflare 免费限制注意事项,参考开源项目,开发灵感 / 待优化点（立即可落地）,当前价值/优势,主要短板/设计缺陷,用户痛点,可能致命Bug / 失败模式,运维风险,部署风险,安全/合规风险,建议优先级,建议补充动作,依据 / 参考来源
1,配置管理,环境变量设置（ADMIN 等）,文本类型、大写变量名（ADMIN）、复杂密码建议、避免暴力破解；支持 .env 文件粘贴批量添加/编辑,WebUI 表单输入 → 保存（当前下次部署生效）,ENV 数量/大小有限，修改必须重部署,cmliu/edgetunnel,改用 KV / D1 存储配置，点击「保存」立即生效（无需改变量重试部署，UI 加「重试部署」按钮）,上手门槛低，适合快速做 MVP 和后台可视化配置。,配置源可能分散在 Dashboard、Wrangler、KV 三处，容易形成“谁是真实配置”的问题；把 ADMIN 当普通变量也不安全。,改配置后不一定立即生效；不同环境变量名/绑定名容易填错。,Dashboard 改过的变量会在下一次 Wrangler 部署时被覆盖；若用普通环境变量而不是 Secret，敏感值可在控制台被看到；KV 配置写入后跨地区可能短时间读到旧值。,配置漂移、回滚困难、审计缺失。,漏绑 KV / Secret、dev/prod 混用导致上线即 500。,订阅 token、管理员密码、第三方 API token 泄漏。,P0,统一以 wrangler.jsonc + Secret 为配置源；配置落库需做版本号、回滚、校验；敏感值全部走 Secret。,https://developers.cloudflare.com/workers/configuration/environment-variables/ | https://developers.cloudflare.com/workers/wrangler/configuration/ | https://developers.cloudflare.com/kv/concepts/how-kv-works/
2,监控面板,Workers/Pages 使用情况,"进度条 + 今日请求数（Workers 9,670 / Pages 10,900）、日配额 100,000、重置倒计时",仪表盘实时拉取 Workers 指标,"日请求上限 100,000，超限节点失效",-,添加预警弹窗 + 使用量图表，超 80% 自动提醒,能快速看到配额使用率，适合免费版保命。,当前偏“展示型监控”，缺少错误率、P95/P99、来源路径、配额趋势与自动降级策略。,到 80% 才发现已太晚；不知道是哪条路径/哪个功能把额度打爆。,免费计划日请求额度打满后，订阅/API 全面不可用；监控本身若依赖同一 Worker，会和业务一起失明。,没有容量预测、没有熔断与限流、没有异常告警链路。,监控指标接口权限或绑定配置错误，生产上看不到真实数据。,若暴露过多请求明细，可能泄漏用户访问模式。,P0,接入 Workers Logs / Observability；增加日配额预算、路径维度统计、自动降级和熔断。,https://developers.cloudflare.com/workers/platform/limits/ | https://developers.cloudflare.com/workers/observability/logs/workers-logs/
3,网络诊断,当前网络信息,国内/国外测试 IP、Cloudflare ProxyIP、翻墙测试 IP + 位置说明,Worker 自动探测并展示,免费请求可测速,xiu2/CloudflareSpeedTest,集成实时测速，自动标记最优 IP,便于用户理解当前出口与 ProxyIP 状态，降低排障门槛。,网络探测结果受地区、缓存、第三方探测接口质量影响；“当前网络信息”不等于真实业务可用性。,测速快但平台仍不可用；同一 IP 在不同地区表现不一致。,错误地把暂时可达或假高分 IP 判为优选，导致用户批量切到坏节点。,依赖第三方测速/GeoIP 服务；探测逻辑漂移后会长期输出假阳性。,探测接口跨域/权限/请求额度异常时，前端显示为空或误报。,展示真实出口与内部探测逻辑，可能增加被针对性封禁的概率。,P1,把“网络信息”与“业务探针”分开；引入多地区、多平台、多次采样；给结果标注采样时间和样本数。,https://github.com/cmliu/edgetunnel | https://github.com/XIU2/CloudflareSpeedTest
4,节点获取,节点链接格式,VLESS 完整链接、自适应订阅、Base64、Clash、SingBox（带 token）+ 二维码/复制,Pages 托管订阅链接，Worker 生成,订阅链接无请求限制,cmliu/edgetunnel + yonggekkk/Cloudflare-vless-trojan,一键切换协议，新增 Surge / Shadowrocket 格式,链接格式全，降低客户端接入成本。,协议/订阅格式多，编码细节、参数差异、token 透出方式非常容易出兼容问题。,同一个订阅在 Clash 可用，在 Sing-box/Surge 不可用；二维码复制后参数丢失。,token 放在 URL/二维码中被转发或截图泄漏；Base64/URL 编码错误导致全客户端导入失败。,客户端版本碎片化，兼容矩阵持续膨胀。,自定义域名、路径、CNAME 配置错误导致订阅 522/证书异常。,订阅链接泄漏即相当于批量泄漏节点资产。,P0,统一生成器内核；订阅 token 轮换、过期、吊销；建立客户端兼容测试矩阵。,https://developers.cloudflare.com/pages/configuration/custom-domains/ | https://github.com/cmliu/edgetunnel
5,优选订阅生成,优选订阅生成,模式「随机优选」、数量 16、端口「随机端口」,WebUI 配置 → 一键生成保存,计算在 Worker 内，免费 CPU 时间够用,xiu2/CloudflareSpeedTest,增加「手动指定端口」+ 实时测速按钮,自动生成优选订阅，适合初期拉起使用体验。,“随机优选”缺乏可解释性；测速结果和真实平台业务成功率不等价。,今天最快，明天不可用；随机结果导致体验抖动。,把高延迟但偶然通过的 IP 选进生产订阅，导致大规模连接失败或封禁集中。,优选结果难复现、难回滚、难审计。,测速 API 或优选源失效时，生成逻辑可能空结果或退化到坏默认值。,若直接依赖第三方优选 API，存在供应链与投毒风险。,P1,改为“多维评分 = 连通率 + RTT + 抖动 + 平台成功率 + 连续观测”；支持固定候选池和回滚版本。,https://github.com/XIU2/CloudflareSpeedTest | https://developers.cloudflare.com/workers/platform/limits/
6,高级配置,详细配置信息,Encrypted Client Hello、Cloudflare CDN 访问设置、订阅转换、消息通知、操作日志,折叠面板展开修改,配置读写用 KV（免费）,-,增加「自动更新开关」「故障自愈开关」,高级项集中展示，便于资深用户精调。,配置项耦合度高，开关之间可能存在隐藏依赖；没有“安全默认值”和“变更影响预览”。,开了一个选项，另一个功能 silently 失效。,ECH、CDN、订阅转换、消息通知同时开启后出现顺序/兼容冲突，导致面板能保存但业务全挂。,问题定位困难；没有配置快照、diff、灰度与回滚。,高级项默认值在不同部署方式下不一致。,日志、消息通知可能把敏感配置或用户标识发到第三方。,P0,为高级设置增加 schema 校验、互斥规则、依赖检查、风险提示和“恢复默认/回滚到上版”。,https://developers.cloudflare.com/kv/concepts/how-kv-works/ | https://developers.cloudflare.com/workers/wrangler/configuration/
7,部署方式 1,Worker 创建,Continue with GitHub、从 Hello World 开始、选择模板,Cloudflare 仪表盘直接创建,免费 Worker 数量无上限,cmliu/edgetunnel,一键「Hello World + 一键替换为 edgetunnel」脚本,直接在控制台创建，上手最快。,手工步骤多，难以复现，不利于多人协作和审计。,新手最容易漏绑域名、KV、Secret、Cron。,Worker 已创建但关键绑定缺失，运行时才爆错；用 Quick Editor 改代码导致配置与仓库脱节。,无 IaC、无版本评审、难回滚。,手工误操作覆盖生产；不同账号/环境步骤不一致。,生产配置全靠人手点，权限和审计链薄弱。,P1,把 Dashboard 创建只留给 POC；正式环境统一走仓库 + wrangler.jsonc + CI。,https://developers.cloudflare.com/workers/wrangler/configuration/ | https://github.com/cmliu/edgetunnel
8,部署方式 2,GitHub 仓库部署,连接 GitHub repo 自动部署（CI/CD）,Continue with GitHub,Git integration 免费,eooce/Cloudflare-proxy,支持私有仓库 + 自动触发重部署,最适合团队协作、版本管理和自动部署。,仓库配置、Dashboard 配置、GitHub Secrets 三者容易不一致；CI 失败时排障链长。,代码没变但部署结果变了；是 GitHub Actions、Wrangler 版本还是平台配置的问题不清楚。,CI 用旧 Wrangler 或错误环境文件，把生产变量/路由覆盖成错误值。,供应链风险、CI token 权限过大、自动部署把坏版本秒推全站。,私有仓库权限、Git integration、构建缓存、分支策略配置错误导致部署失败或部署错分支。,Secrets 泄漏到日志或 PR 环境。,P0,锁定 Wrangler 版本；分环境部署；生产需要人工批准；部署后自动冒烟测试。,https://developers.cloudflare.com/workers/wrangler/configuration/ | https://developers.cloudflare.com/workers/platform/limits/
9,部署方式 3,文件上传部署（Pages）,Upload your static files（静态文件上传）,Dashboard 上传 ZIP / 文件,Pages 每月构建次数有限,yonggekkk/Cloudflare-vless-trojan,支持拖拽上传 + 自动识别为 Pages 项目,最适合纯静态前端，部署门槛最低。,上传型流程可复现性最差；产物来源、版本、依赖链难追踪。,本地能跑，上传后白屏/资源 404/证书异常。,上传了错误目录或缺静态资源，后台页面空白；域名未在 Pages 控制台完成关联直接手加 CNAME，出现 522。,没有标准化构建产物和发布审计。,免费版每月构建数和文件数有限；自定义域名、CAA、DNS 处理不完整会失败。,手工上传包容易把测试文件、源码映射或敏感配置一并带上去。,P1,只把它当“静态后台壳”；生成标准构建清单；上线前做资源完整性校验。,https://developers.cloudflare.com/pages/platform/limits/ | https://developers.cloudflare.com/pages/configuration/custom-domains/
10,订阅功能,自适应订阅,自动适配多种客户端的订阅链接,节点链接模块已内置,无额外限制,cmliu/edgetunnel,已完美支持，继续保持,一个订阅适配多客户端，降低维护成本。,“自适应”通常依赖 UA/path/参数判断，判定规则脆弱。,同一个订阅地址在不同客户端解析结果不一致。,客户端识别错误，返回错误格式，导致用户全部导入失败。,兼容性 bug 很隐蔽，直到用户端才暴露。,CDN/缓存把不同客户端应答缓存串了。,若依赖 query 参数做分流，token 污染与缓存穿透风险增大。,P1,改为显式格式参数优先，自适应只做兜底；关键响应禁止共享缓存。,https://github.com/cmliu/edgetunnel | https://developers.cloudflare.com/workers/platform/limits/
11,更新机制,支持自动更新机制,规则库 / 订阅每日自动更新,Worker Cron + KV 存储最新规则,Cron 免费（每天有限次）,-,每日 00:00 自动拉取最新规则，UI 显示更新日志,自动更新规则库，减少人工维护。,定时任务天然有时区、传播延迟、幂等性和源站可用性问题。,规则明明更新过，但客户端看到的还是旧内容。,Cron 在 UTC 执行，与本地预期时间不一致；触发器变更传播需数分钟；外部规则源异常时把空内容写进 KV，导致全量订阅损坏。,无签名校验、无版本 pin、无回滚；更新失败时缺乏告警。,超出 Cron 数量限制；配置变更未同步到 wrangler，导致线上与代码不一致。,外部规则源被污染或投毒。,P0,更新任务必须先拉取到临时键做校验，再原子切换版本；保留最近 N 版；失败自动回滚。,https://developers.cloudflare.com/workers/configuration/cron-triggers/ | https://developers.cloudflare.com/workers/platform/limits/ | https://developers.cloudflare.com/kv/concepts/how-kv-works/
12,解锁规则,多平台专属解锁规则,OpenAI、Netflix、Amazon、Google、YouTube、Claude.ai、Grok、Gemini、Copilot 等独家规则,集成 Clash / SingBox 规则集,规则存 KV（免费）,"blackmatrix7/ios_rule_script
Loyalsoldier/clash-rules
ACL4SSR",Step 1：按平台写专属规则（已列平台全部覆盖）,平台规则覆盖广，业务诉求明确。,规则变化快、维护成本高；域名匹配不等于真实业务可用；不同平台反爬/反代理策略不同。,明明命中“专属规则”，但登录/支付/视频仍失败。,规则重叠或优先级错误，把关键域名路由到错误节点，导致登录/支付/风控链路失败。,平台规则持续漂移，需要频繁更新和验证。,规则集体积膨胀、订阅体积过大、客户端解析性能下降。,对外宣称“全部覆盖/独家规则”风险很高，实际效果不可控。,P0,把“规则覆盖”从营销语言改成“已验证矩阵”；为每个平台维护测试样例和失败回放。,https://github.com/blackmatrix7/ios_rule_script | https://github.com/Loyalsoldier/clash-rules | https://github.com/ACL4SSR/ACL4SSR
13,智能策略,智能分发策略,根据目标平台（电商/付费/登录/视频）自动选择最优代理策略,Worker 路由逻辑（域名匹配 + 规则优先级）,免费路由无限制,-,实现「平台检测 → 自动选 IP/规则/节点」,智能策略是最有产品差异化的部分。,仅靠域名分类不足以做正确路由；同一平台不同业务路径（登录/支付/流媒体）要求不同。,首页能开，登录失败；视频能播，支付/验证失败。,策略引擎误判把敏感流量送到不合适出口，触发风控、二次验证或直接封禁。,策略树越来越复杂，回归测试爆炸。,热更新策略时与缓存/旧规则并存，产生随机问题。,策略引擎若记录完整域名与用户操作轨迹，隐私风险上升。,P0,策略引擎必须支持平台 × 场景 × 区域三级建模；所有自动路由都要允许人工覆写。,https://github.com/cmliu/edgetunnel | https://developers.cloudflare.com/kv/concepts/how-kv-works/
14,连通测试,每小时自动连通性测试,检测 OpenAI/Netflix 等平台访问状态,Worker Cron 每小时执行,每小时测试 ≤ 100 请求（免费够用）,-,UI 显示「正常/失败」绿灯 + 历史记录,定时健康检查可提前发现故障。,连通性测试只能证明“探针能通”，不代表真实用户场景可用。,面板显示绿色，实际登录/播放/支付仍挂。,探针 URL 被缓存或返回静态成功页，形成“假绿灯”；测试过频触发对端限流。,探针太简单会误判，太复杂又容易耗费额度。,Cron 传播延迟、配额耗尽、目标平台封测试流量。,频繁探测第三方服务可能被视为异常行为。,P1,区分 L3/L7/业务探针；探针结果要带样本与证据；异常只触发候选切换，不直接全量替换。,https://developers.cloudflare.com/workers/configuration/cron-triggers/ | https://developers.cloudflare.com/workers/platform/limits/
15,故障修复,自动修复故障节点,检测失败后 10 分钟内自动修复/替换节点,状态监控 + KV + 自动重启子 Worker,免费 KV 读写,-,核心杀手锏：失败自动换优选 IP（已实现 10 分钟内修复）,自动自愈能显著改善短时故障体验，是杀手锏。,如果没有抖动抑制、熔断、灰度和人工兜底，自愈会演变成“自动放大故障”。,节点在好/坏之间反复横跳，订阅频繁变化。,错误探针触发自动替换，短时间内连续重写 KV / 配置，导致全网订阅抖动；修复逻辑把更差节点推到全量。,flapping、雪崩、回滚困难、根因被自动动作掩盖。,Cron + KV + 子 Worker 多组件协同失败，任一绑定错误就会产生局部自愈、全局损伤。,自动拉取外部优选源进行替换，存在供应链与投毒风险。,P0,增加抖动窗口、最短稳定期、灰度发布、人工批准阈值和审计日志；把自动修复限定为“小流量候选切换”。,https://developers.cloudflare.com/kv/concepts/how-kv-works/ | https://developers.cloudflare.com/workers/configuration/cron-triggers/ | https://developers.cloudflare.com/workers/observability/logs/workers-logs/
16,平台覆盖,电商/付费/登录/视频平台,Amazon、eBay、Shopify、AliExpress、Spotify、Apple Music、Disney+、Google Play、Google/Microsoft/Facebook/Twitter/x/Telegram、YouTube/Netflix/Hulu/HBO Max 等,全平台规则库,无限制,-,全部覆盖，规则每日更新保持有效,平台覆盖广，产品叙事完整。,覆盖列表越长，验证成本越高；“全部覆盖”几乎无法长期兑现。,宣传很全，但遇到具体国家/账号/设备组合时成功率不可预测。,平台库持续膨胀，导致订阅体积、规则冲突和维护复杂度一起失控。,验证矩阵膨胀到无法手工维护。,大体积规则/订阅造成客户端解析慢、内存占用高。,对兼容性作过度承诺，容易引发售后和信任危机。,P1,将“全部覆盖”改为“已验证覆盖”；按平台分层输出规则集，按需订阅。,https://github.com/blackmatrix7/ios_rule_script | https://github.com/Loyalsoldier/clash-rules
17,扩展功能,后续可添加功能,（留空待开发者补充）,-,-,-,随时补充（如 Telegram 通知、Web 控制台多用户）,为后续迭代预留空间。,当前还是“想法列表”，不是可执行 backlog；缺少边界、依赖、优先级和验收标准。,需求越堆越多，但真正阻塞开发的底层问题没人先处理。,扩展功能不断叠加到同一 Worker，最终超过代码体积、配置复杂度和测试承载能力。,范围失控，核心链路无人负责。,功能互相耦合，任何一次发布都变成高风险全量发布。,多用户、通知、控制台等功能引入账号体系后，安全面显著扩大。,P0,先把扩展区拆成 Roadmap：必须做 / 应该做 / 可选做，并补验收标准和 owner。,https://developers.cloudflare.com/workers/platform/limits/ | https://developers.cloudflare.com/workers/wrangler/configuration/
